Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
N015E0R,2025,FORD,BRONCO,RAPTOR 4DR 4X4,N,Available,,MARSH GRAY,1FMEE0RR7SLB62925,, ,O,89875
R040W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 6.5 FT. BOX 157 IN. WB,N,Available,3,RAPID RED MET T,1FTFW5L57SFC68685,, ,O,74625
D94QK8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,CARBONIZED GRAY,1FMUK8DH3TGA18705,, ,O,44280
RRE63375A,2020,LINCOLN,CORSAIR,RESERVE 4DR FRONT-WHEEL DRIVE,T,Appraised,,WHITE,5LMCJ2C96LUL25659,23727, ,,0
,2015,GMC,YUKON,SLE 4X4,T,Appraised,, ,1GKS2AKC2FR693078,, ,,0
SGC76103,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,32,SPACE WHITE METALLIC,1FMUK8DH6SGC76103,5, ,S,49115
SED95757A,2024,GMC,SIERRA 2500HD,PRO 4X4 CREW CAB 6.75 FT. BOX 159 IN. WB,U,Available,14,SUMMIT WHITE,1GT49LEY1RF374747,13373, ,S,60989
N031F6X,2026,FORD,TRANSIT-350 CARGO,"BASE W/9,950 LB. GVWR ALL-WHEEL DRIVE HIGH ROOF VAN 148 IN. WB",N,Available,,OXFORD WHITE,1FTBF6XG0TKA23459,, ,O,67215
SUB56883,2025,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,59,CARBONIZED GRAY METALLIC,1FMCU9MN2SUB56883,5, ,S,34095
TEC65583,2026,FORD,F-250, ,N,Available,39,STAR WHITE,1FT8W2BM7TEC65583,5, ,T,98740
,2024,CHEVROLET,SILVERADO 2500HD,LT 4X4 CREW CAB 6.75 FT. BOX 159 IN. WB,T,Appraised,, ,2GC4YNEY1R1180645,67567, ,,0
SGA15443A,2023,KIA,SPORTAGE,SX (A8) 4DR FRONT-WHEEL DRIVE,U,Available,139,GRAVITY GRAY,5XYK43AF5PG048177,41785, ,S,25408
,2014,FORD,ESCAPE,SE 4DR 4X4,T,Appraised,, ,,134000, ,,0
SRE53881,2025,FORD,BRONCO SPORT,HERITAGE 4DR 4X4,N,Available,200,SHADOW BLACK,3FMCR9GN9SRE53881,4889, ,S,36580
SGD03002,2025,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,21,GRAY METALLIC,1FMUK8HH2SGD03002,5, ,S,59315
SFB95331,2025,FORD,F-150, ,N,Available,1,MARSH GRAY,1FTFW5L89SFB95331,5, ,S,76645
RRF34307A,2017,KIA,FORTE,LX (A6) 4DR SEDAN,U,Available,12,SNOW WHITE PEARL,3KPFL4A73HE078456,142894, ,S,7534
N102W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 6.5 FT. BOX 157 IN. WB,N,Available,3,RAPID RED MET T,1FTFW5L57SFC68931,, ,O,75340
SFB68927,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,47,MARSH GRAY,1FTEW2LP4SFB68927,5, ,T,53940
SFA85761,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,158,WHITE METALLIC,1FTFW5L8XSFA85761,86, ,S,71295
F50EW3L,2025,FORD,F-150, ,N,Available,,CARBONIZED GRAY,1FTFW3LD1SFC50078,, ,O,62390
811TK3S,2025,FORD,MUSTANG MACH-E,PREMIUM 4DR ALL-WHEEL DRIVE,N,Available,,SHADOW BLACK,3FMTK3SU9SMA62873,, ,O,53415
,2022,GMC,SIERRA 1500,PRO 4X2 CREW CAB 5.75 FT. BOX 147.4 IN. WB,T,Appraised,, ,3GTPHAEK8NG603112,45475, ,,0
SED36293B,2018,CHEVROLET,SILVERADO 1500,LTZ W/1LZ 4X4 CREW CAB 5.75 FT. BOX 143.5 IN. WB,U,Available,38,RED HOT,3GCUKSEC1JG508081,102054, ,S,29587
SUB61866,2025,FORD,ESCAPE,ST-LINE ELITE 4DR ALL-WHEEL DRIVE,N,Available,,VAPOR BLUE,1FMCU9PZ7SUB61866,, ,,42510
RFA99730B,2025,CHEVROLET,SILVERADO 1500,LT W/2FL 4X4 CREW CAB 5.75 FT. BOX 147.4 IN. WB,U,Available,94,RIPTIDE BLUE METALLIC,1GCPKKEK2SZ198044,2772, ,S,42999
TEC56686,2026,FORD,F-350, ,S,Available,47,OXFORD WHITE,1FT8W3BM8TEC56686,5, ,T,105680
SLE43132,2025,FORD,RANGER,XLT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,54,MARSH GRAY,1FTER4HH7SLE43132,5, ,T,42790
TEC24352,2026,FORD,F-250, ,N,Available,35,OXFORD WHITE,1FT8W2BM3TEC24352,5, ,S,76815
SMA39387,2025,FORD,MUSTANG MACH-E,SELECT 4DR ALL-WHEEL DRIVE,N,Available,7,VELOCITY BLUE M,3FMTK1S5XSMA39387,5, ,S,44535
FA1196A,2009,GMC,SIERRA 1500, ,U,Available,15, ,3GTEK33259G164125,153000, ,S,0
SEA46163,2025,FORD,EXPEDITION,PLATINUM 4DR 4X4,N,Available,8,GRAY METALLIC,1FMJU1MG4SEA46163,125, ,S,844.85
FA1301,2024,TOYOTA,RAV4 HYBRID,SE (CVT) 4DR ALL-WHEEL DRIVE,U,Available,88,MAGNETIC GRAY METALLIC,4T3T6RFV1RU163364,55038, ,S,32997
SKD67972,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,230,OXFORD WHITE,1FTFW3L84SKD67972,2922, ,S,58980
FA1311,2024,JEEP,WRANGLER,SAHARA 4DR 4X4,U,Working,68,SILVER ZYNITH CLEARCOAT,1C4PJXEN3RW129336,30590, ,S,36993
N107W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,3,AGATE BLACK MET,1FTFW5LD3SFC67492,, ,O,73500
