Stock#,Year,Make,Model,Trim,N/U/T,Status,Age,Ext. Color,Vin,Miles,Location,DMS Status,Price
SED57520A,2022,GMC,SIERRA 2500HD,SLE 4X4 REGULAR CAB 8 FT. BOX 141.6 IN. WB,U,Available,6,QUICKSILVER METALLIC,1GT39ME72NF297857,56252, ,S,0
SGC95645,2025,FORD,EXPLORER,ST 4DR 4X4,N,Available,32,VAPOR BLUE METALLIC,1FMWK8GC4SGC95645,5, ,S,62650
SGC50949AA,2013,JEEP,WRANGLER,SPORT 2DR 4X4,U,Available,3,TAN,1C4AJWAG0DL670314,96015, ,S,0
811LW8S,2025,FORD,MAVERICK,LARIAT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,,SPACE WHITE MET,3FTTW8S33SRB68817,, ,P,40880
527BE9B,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,,CARBONIZED GRAY,1FMEE9BP2SLB48461,, ,O,68760
,2015,CHEVROLET,SONIC,LT AUTO 4DR HATCHBACK,T,Appraised,, ,1G1JC6SH2F4218680,137239, ,,0
,2022,FORD,F-150, ,T,Appraised,, ,1FTFW1E50NKE65618,91484, ,,0
RLB41742A,2023,TOYOTA,COROLLA CROSS,XLE (CVT) 4DR ALL-WHEEL DRIVE,U,Available,78,BARCELONA RED METALLIC,7MUDAABG8PV048986,90261, ,S,24997
811BP8T,2026,FORD,MUSTANG, ,N,Available,,CARBONIZED GRAY,1FA6P8TH9T5103095,, ,O,34590
S5121540,2025,FORD,MUSTANG, ,N,Available,145,GRABBER BLUE METALLIC,1FA6P8TH8S5121540,5, ,S,44650
SRB65927,2025,FORD,MAVERICK,XLT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,7,SHADOW BLACK,3FTTW8JA6SRB65927,5, ,T,36920
P811U9J,2026,FORD,ESCAPE,PLATINUM 4DR ALL-WHEEL DRIVE,N,Available,,STAR WHITE META,1FMCU9JA7TUA19327,, ,O,42070
FA1253,2023,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,U,Available,153,BLACK METALLIC,1FMCU9GN3PUA09894,37412, ,S,21960
,2022,CHEVROLET,SILVERADO 1500 LTD,RST 4X4 CREW CAB 5.75 FT. BOX 147.4 IN. WB,T,Appraised,, ,1GCUYEED5NZ120219,50475, ,,0
SUB40251,2025,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,93,OXFORD WHITE,1FMCU9GN1SUB40251,2769, ,S,33900
SRE72392,2025,FORD,BRONCO SPORT,FREE WHEELING 4DR 4X4,N,Available,153,GRAY METALLIC,3FMCR9KN2SRE72392,2462, ,S,37120
ORD0828,2025,FORD,F-150,XL 4X4 REGULAR CAB 6.5 FT. BOX 122 IN. WB,N,Available,,CARBONIZED GRAY,,, ,,47920
SEA75695,2025,FORD,EXPEDITION MAX,ACTIVE 4DR 4X4,N,Available,13,AGATE BLACK MET,1FMJK1J82SEA75695,5, ,T,76565
FA1248A,2012,CHEVROLET,CAPTIVA SPORT,2LS 4DR FRONT-WHEEL DRIVE,U,Available,4,BLACK GRANITE M,3GNAL2EK7CS562242,171842, ,S,0
SRF37523,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,8,DESERT SAND,3FMCR9CN1SRF37523,5, ,S,38885
FP509B,2011,FORD,EDGE,SE 4DR FRONT-WHEEL DRIVE,U,Available,3,SILVER,2FMDK3GC4BBB44483,125883, ,S,0
M62NW3L,2025,FORD,F-150, ,N,Available,,CARBONIZED GRAY,1FTFW3LD9SFC34811,, ,O,63705
TGA11000,2026,FORD,EXPLORER,PLATINUM 4DR 4X4,N,Available,6,SPACE WHITE METALLIC,1FMUK8HH4TGA11000,5, ,S,58395
REE42430C,2021,FORD,F-150,LARIAT 4X4 SUPERCREW CAB STYLESIDE 5.5 FT. BOX 145 IN. WB,U,Available,26,AGATE BLACK METALLIC,1FTEW1EP7MFB56524,55411, ,S,39969
SFC19942,2025,FORD,F-150, ,N,Available,26,ANTIMATTER BLUE,1FTFW5L86SFC19942,5, ,T,72790
S5417341,2025,FORD,MUSTANG, ,N,Available,46,SHADOW BLACK,1FA6P8CF5S5417341,5, ,S,51145
A813K8K,2026,FORD,EXPLORER,ST-LINE 4DR 4X4,N,Available,,STAR WHITE MET ,1FMUK8KH6TGA33850,, ,O,50615
SUB15196,2025,FORD,ESCAPE,ST-LINE ELITE 4DR ALL-WHEEL DRIVE,N,Available,155,BLACK METALLIC,1FMCU9PZ0SUB15196,5, ,S,40995
SFA19410B,2015,CHEVROLET,COLORADO,WT 4X2 EXTENDED CAB 6 FT. BOX 128.3 IN. WB,U,Available,25, ,1GCHSAEA5F1247599,77872, ,S,0
,2016,HONDA,ODYSSEY,SE (A6) PASSENGER VAN,T,Appraised,,-SELECT-,5FNRL5H34GB137013,, ,,0
,2017,FORD,F-150, ,T,Appraised,, ,1FTEW1EGXHKD58111,910999, ,,0
SGB80079,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,152,VAPOR BLUE,1FMUK8DH4SGB80079,3518, ,S,50395
SGB73843,2025,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,134,WHITE METALLIC,1FMUK8DH2SGB73843,283, ,S,49160
FA1294,2022,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,U,Available,97,RAPID RED METALLIC TINTED CLEARCOAT,1FTFW1E88NKD59413,24341, ,S,46360
SUB04225A,2016,HONDA,ODYSSEY,SE (A6) PASSENGER VAN,U,Available,10,MODERN STEEL METALLIC,5FNRL5H34GB137013,147836, ,S,12882
TEC06006,2026,FORD,F-250, ,N,Available,54,CARBONIZED GRAY METALLIC,1FT8W2BM4TEC06006,3, ,S,84915
FA1324,2023,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,U,Available,61,SILVER METALLIC,1FMCU9MN8PUA58951,38372, ,S,23466
SLB38985,2025,FORD,BRONCO,BADLANDS 4DR 4X4,N,Available,24,CARBONIZED GRAY METALLIC,1FMEE9BP8SLB38985,5, ,S,67090
TEC55046,2026,FORD,F-250, ,N,Available,26,CARBONIZED GRAY METALLIC,1FT8W2BM8TEC55046,5, ,S,89225
SFA91960,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,,RAPID RED,1FTFW5LD6SFA91960,150, ,,72675
I000K8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,CARBONIZED GRAY,1FMUK8DH1TGA38340,, ,O,44680
DT092325,2025,FORD,F-150 LIGHTNING,FLASH ALL-WHEEL DRIVE SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,, ,1FT6W3LU6SWG23793,, ,,75220
811GU1M,2025,FORD,EXPEDITION,PLATINUM 4DR 4X4,N,Available,,AGATE BLACK MET,1FMJU1M88SEA71141,, ,O,80250
SRE60582,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,109,AZURE GRAY METALLIC,3FMCR9BN2SRE60582,5, ,S,33980
S5412533,2025,FORD,MUSTANG, ,N,Available,75,WIMBLEDON WHITE,1FA6P8CF0S5412533,68, ,S,65280
FA1299,2025,MAZDA,CX-30, ,U,Available,88,JET BLACK,3MVDMBCM4SM801089,2309, ,S,26599
RLB40318B,2021,KIA,TELLURIDE,S (A8) 4DR ALL-WHEEL DRIVE,U,Available,7,BLACK COPPER,5XYP6DHC2MG150159,94381, ,S,0
SRB75140,2025,FORD,MAVERICK,XLT ALL-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,26,CARBONIZED GRAY,3FTTW8JA5SRB75140,5, ,T,36920
17797,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,,BLACK,,, ,,33210
SFB04451A,2023,FORD,F-150,RAPTOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,U,Available,31,BLACK METALLIC,1FTFW1RG4PFC87395,21750, ,S,71443
SKD31379A,2019,GMC,TERRAIN,SLT FRONT-WHEEL DRIVE,U,Available,14,EBONY TWILIGHT METALLIC,3GKALPEV7KL120008,60593, ,S,19688
SRF21646,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,48,DESERT SAND,3FMCR9CN3SRF21646,28, ,S,39080
M811U9G,2026,FORD,ESCAPE,ACTIVE 4DR ALL-WHEEL DRIVE,N,Available,,OXFORD WHITE,1FMCU9GN7TUA14865,, ,O,34780
TUA20829,2026,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,11,AGATE BLACK MET,1FMCU9MN5TUA20829,5, ,T,35130
SRF49879,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,31,DESERT SAND,3FMCR9BNXSRF49879,5, ,T,36900
N005W8J,2026,FORD,MAVERI, ,N,Available,17,OXFORD WHITE,3FTTW8J31TRA05702,, ,O,38455
Q811U9J,2026,FORD,ESCAPE,PLATINUM 4DR ALL-WHEEL DRIVE,N,Available,,SPACE SILVER ME,1FMCU9JZ7TUA15705,, ,O,37410
SRF40974,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,17,SHADOW BLACK,3FMCR9BN3SRF40974,5, ,T,32990
N014R9C,2025,FORD,BRONCO SPORT,OUTER BANKS 4DR 4X4,N,Available,,VELOCITY BLUE M,3FMCR9CN7SRF65634,, ,O,42120
SFB96934,2025,FORD,F-150, ,N,Available,1,ATLAS BLUE META,1FTFW5L80SFB96934,5, ,S,73585
811CU1P,2025,FORD,EXPEDITION,KING RANCH 4DR 4X4,N,Available,,STAR WHITE MET ,1FMJU1P80SEA69363,, ,O,87910
,2021,FORD,F-150, ,T,Appraised,,KODIAK BROWN,1FTFW1E87MFA26594,71894, ,,0
SRF49083,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,7,CARBONIZED GRAY,3FMCR9BN2SRF49083,5, ,T,34685
SLE24351,2025,FORD,RANGER,LARIAT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,93,VELOCITY BLUE METALLIC,1FTER4KH0SLE24351,58, ,S,51045
T811U9J,2026,FORD,ESCAPE,PLATINUM 4DR ALL-WHEEL DRIVE,N,Available,,AGATE BLACK MET,1FMCU9JA0TUA20593,, ,O,39975
R043W3L,2025,FORD,F-150,XLT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,17,OXFORD WHITE,1FTEW3LP9SFC62694,, ,O,62725
FA1305,2023,SUBARU,FORESTER,PREMIUM (CVT) 4DR ALL-WHEEL DRIVE,U,Available,82,CRYSTAL BLACK SILICA,JF2SKAEC4PH483310,93144, ,S,21439
N112W5L,2025,FORD,F-150,LARIAT 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,3,RAPID RED MET T,1FTFW5LD6SFC70287,, ,O,73995
SFC12636,2025,FORD,F-150, ,N,Available,26,OXFORD WHITE,1FTFW3LD6SFC12636,5, ,T,63305
SRB22157,2025,FORD,MAVERICK,XLT FRONT-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,, ,3FTTW8H30SRB22157,, ,,33335
SKF10334,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,36,ICONIC SILVER METALLIC,1FTEW2LP2SKF10334,7, ,S,50425
SRB75453,2025,FORD,MAVERICK,XLT FRONT-WHEEL DRIVE SUPERCREW 4.5 FT. BOX 121.1 IN. WB,N,Available,19,SPACE WHITE MET,3FTTW8H35SRB75453,5, ,T,34455
SKD03378,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,277,WHITE METALLIC,1FTEW2LP6SKD03378,16, ,S,55450
SLE34797,2025,FORD,RANGER,XLT 4X4 SUPERCREW 5 FT. BOX 128.7 IN. WB,N,Available,105,OXFORD WHITE,1FTER4HP4SLE34797,92, ,S,45880
SFC01568,2025,FORD,F-150, ,N,Available,1,OXFORD WHITE,1FTFW5L86SFC01568,5, ,S,73000
TEC21169,2026,FORD,F-350, ,N,Available,50,ARGON BLUE METALLIC,1FT8W3BM0TEC21169,5, ,S,97450
,2020,GMC,TERRAIN,SLT FRONT-WHEEL DRIVE,T,Appraised,, ,3GKALPEV1LL291029,83227, ,,0
811DU1J,2025,FORD,EXPEDITION,ACTIVE 4DR 4X4,N,Available,,STAR WHITE MET ,1FMJU1J81SEA75780,, ,O,73965
SRF18801,2025,FORD,BRONCO SPORT,BIG BEND 4DR 4X4,N,Available,11,CARBONIZED GRAY METALLIC,3FMCR9BN5SRF18801,5, ,S,34685
U36RK8D,2026,FORD,EXPLORER,ACTIVE 4DR 4X4,N,Available,,SPACE SILVER,1FMUK8DHXTGA38420,, ,O,44680
SLB47971,2025,FORD,BRONCO,OUTER BANKS 4DR 4X4,N,Available,7,OXFORD WHITE,1FMEE8BP6SLB47971,5, ,T,63165
SUA67135,2025,FORD,ESCAPE,PHEV 4DR FRONT-WHEEL DRIVE,N,Available,92,VAPOR BLUE,1FMCU0E11SUA67135,5, ,S,40985
SLA97195,2025,FORD,BRONCO,BADLANDS 2DR 4X4,N,Available,85,MARSH GRAY,1FMDE9AH6SLA97195,5, ,S,61090
,2022,HONDA,CIVIC,SPORT (CVT) 4DR SEDAN,T,Appraised,, ,2HGFE2F5XNH569954,32676, ,,0
SUB04528,2025,FORD,ESCAPE,ACTIVE 4DR FRONT-WHEEL DRIVE,N,Available,153,GRAY METALLIC,1FMCU0GN9SUB04528,5, ,S,31985
SEA67166,2025,FORD,EXPEDITION MAX,ACTIVE 4DR 4X4,N,Available,28,AGATE BLACK MET,1FMJK1J81SEA67166,5, ,T,71260
TEC18290,2026,FORD,F-250, ,N,Available,57,OXFORD WHITE,1FT8W2BMXTEC18290,5, ,S,82690
TEC65961,2026,FORD,F-250, ,N,Available,15,BLACK METALLIC,1FT8W2BM2TEC65961,5, ,S,99640
SFC18897,2025,FORD,F-150,RAPTOR 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,N,Available,26,SPACE WHITE MET,1FTFW1RG1SFC18897,5, ,T,81595
N008W8S,2026,FORD,MAVE, ,N,Available,5,SPACE WHITE MET,3FTTW8SAXTRA03508,, ,O,39405
FA1300,2023,SUBARU,OUTBACK,PREMIUM (CVT) 4DR ALL-WHEEL DRIVE,U,Available,88,COSMIC BLUE,4S4BTADC4P3161935,70756, ,S,21997
SKE12985A,2025,FORD,F-150,STX 4X4 SUPERCREW CAB 5.5 FT. BOX 145 IN. WB,U,Available,110,WHITE METALLIC,1FTEW2LP0SKD42919,124, ,S,43982
SLB30123,2025,FORD,BRONCO,RAPTOR 4DR 4X4,N,Available,14,DESERT SAND,1FMEE0RR9SLB30123,5, ,S,87605
,2020,FORD,EDGE, ,T,Appraised,, ,2FMPK4K98LBA77256,114498, ,,0
TUA23556,2026,FORD,ESCAPE,ST-LINE 4DR ALL-WHEEL DRIVE,N,Available,11,VAPOR BLUE META,1FMCU9MN0TUA23556,5, ,T,35625
